MS-T-216-3 SANCARGO,鼎盛,3,,Pressure cooker,7L高压锅 三叉,6pcs/ctn,1CTNS,6pcs,0.193CBM,16.0KGS,16.0KGS,¥160.00,¥960.00,,
MS-T-216-4 SANCARGO,鼎盛,4,,Pressure cooker,9L高压锅 三叉,4pcs/ctn,1CTNS,4pcs,0.151CBM,14.5KGS,14.5KGS,¥178.00,¥712.00,,
MS-T-216-5 SANCARGO,鼎盛,5,,Pressure cooker,12L高压锅 三叉,4pcs/ctn,1CTNS,4pcs,0.178CBM,16.0KGS,16.0KGS,¥200.00,¥800.00,,
MS-T-216-6 SANCARGO,鼎盛,6,,Pressure cooker,30L高压锅 三叉,2pcs/ctn,1CTNS,2pcs,0.159CBM,13.5KGS,13.5KGS,¥345.00,¥690.00,,
MS-T-216-7 SANCARGO,鼎盛,7,,Insulated pot,"桃花四件套保温锅
2.5-5-8-16L",4pcs/ctn,1CTNS,4pcs,0.145CBM,13.5KGS,13.5KGS,¥188.00,¥752.00,,
MS-T-216-8 SANCARGO,鼎盛,8,,Insulated pot,"桃花三件套保温锅
2.5-5-8L",8pcs/ctn,1CTNS,8pcs,0.173CBM,13.0KGS,13.0KGS,¥118.00,¥944.00,,
MS-T-216-9 SANCARGO,鼎盛,9,,Cookware,三件套套锅 HF-8544,4pcs/ctn,2CTNS,8pcs,0.119CBM,15.0KGS,30.0KGS,¥75.00,¥600.00,,
MS-T-217-1 SANCARGO,邦达,1,,Food flask,"布袋、混
（再配一个勺子）",12pcs/ctn,1CTNS,12pcs,0.094CBM,22.0KGS,22.0KGS,¥50.00,¥600.00,,
MS-T-217-2 SANCARGO,邦达,2,,Food flask,"布袋、混
（再配一个勺子）",12pcs/ctn,1CTNS,12pcs,0.110CBM,27.0KGS,27.0KGS,¥70.00,¥840.00,,
MS-T-217-3 SANCARGO,邦达,3,,Vacuum Flask,,12pcs/ctn,2CTNS,24pcs,0.300CBM,18.0KGS,36.0KGS,¥75.00,"¥1,800.00",,
MS-T-217-4 SANCARGO,邦达,4,,Vacuum Flask,本色,9pcs/ctn,2CTNS,18pcs,0.273CBM,20.0KGS,40.0KGS,¥114.00,"¥2,052.00",,
MS-T-217-5 SANCARGO,邦达,5,,Vacuum Flask,混,16pcs/ctn,2CTNS,32pcs,0.251CBM,19.0KGS,38.0KGS,¥45.00,"¥1,440.00",,
MS-T-217-6 SANCARGO,邦达,6,,Vacuum Flask,混,16pcs/ctn,2CTNS,32pcs,0.269CBM,22.0KGS,44.0KGS,¥50.00,"¥1,600.00",,
