MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-302-12 SANCARGO,东田,12,,Oven,MFT-26二层六盘电烤炉,1pcs/ctn,1CTNS,1pcs,180,93,127,2.126CBM,2.126CBM,170.0KGS,170.0KGS,"¥4,520.00","¥4,520.00",,
MS-302-13 SANCARGO,东田,13,,Oven,MFT-24二层四盘电烤炉,1pcs/ctn,2CTNS,2pcs,135,93,128,1.607CBM,3.214CBM,160.0KGS,320.0KGS,"¥2,850.00","¥5,700.00",,
MS-302-14 SANCARGO,东田,14,,Ice Cream Cone Maker,单头雪糕皮机,1pcs/ctn,15CTNS,15pcs,41,31,30,0.038CBM,0.572CBM,6.0KGS,90.0KGS,¥260.00,"¥3,900.00",,
MS-302-15 SANCARGO,东田,15,,Ice Cream Cone Maker,双头雪糕皮机,1pcs/ctn,3CTNS,3pcs,55,41,31,0.070CBM,0.210CBM,11.0KGS,33.0KGS,¥550.00,"¥1,650.00",,
MS-302-16 SANCARGO,东田,16,,Panini maker,811压板扒炉,1pcs/ctn,10CTNS,10pcs,44,37,27,0.044CBM,0.440CBM,14.0KGS,140.0KGS,¥300.00,"¥3,000.00",,
MARKS 唛头,SHOP#,ITEM NO.,DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,UNIT WEIGHT,T.WEIGHT,U.PRICE (RMB),T.AMOUNT,BOX .NO,REMMARK
MS-302-17 SANCARGO,东田,17,,Panini maker,811E扒炉,1pcs/ctn,5CTNS,5pcs,50,45,27,0.061CBM,0.304CBM,16.5KGS,82.5KGS,¥350.00,"¥1,750.00","48-161,338-380",
MS-302-19 SANCARGO,东田,19,,Hand Press  Juicer,手压榨汁机1158B款黑色,3pcs/ctn,2CTNS,6pcs,60,30,45,0.081CBM,0.162CBM,20.0KGS,40.0KGS,¥95.00,¥570.00,,
MS-302-20 SANCARGO,东田,20,,Food Display Showcase,JB-BWS827弧形保温柜,1pcs/ctn,10CTNS,10pcs,73,58,70,0.296CBM,2.964CBM,26.0KGS,260.0KGS,¥450.00,"¥4,500.00",,
MS-302-21 SANCARGO,东田,21,,Meat grinder,TK-8半钢绞肉机,1pcs/ctn,4CTNS,4pcs,37,25,40,0.037CBM,0.148CBM,12.0KGS,48.0KGS,¥390.00,"¥1,560.00",,
MS-302-22 SANCARGO,东田,22,,Meat grinder,TK-12半钢绞肉机,1pcs/ctn,13CTNS,13pcs,45,33,45,0.067CBM,0.869CBM,20.0KGS,260.0KGS,¥550.00,"¥7,150.00",,
MS-302-23 SANCARGO,东田,23,,Meat grinder,TK-22半钢绞肉机,1pcs/ctn,0CTNS,0pcs,51,38,53,0.103CBM,0.000CBM,27.0KGS,0.0KGS,¥850.00,¥0.00,,
MS-302-24 SANCARGO,东田,24,,Beverage dispenser,YSJ18*2双缸冷饮机黑色,1pcs/ctn,7CTNS,7pcs,55,48,77,0.203CBM,1.423CBM,28.0KGS,196.0KGS,"¥1,400.00","¥9,800.00",,
MS-302-25 SANCARGO,东田,25,,Beverage dispenser,YSJ18*3三缸冷饮机,1pcs/ctn,3CTNS,3pcs,77,48,77,0.285CBM,0.854CBM,40.0KGS,120.0KGS,"¥1,700.00","¥5,100.00",,
MS-302-26 SANCARGO,东田,26,,Electric  Plate Warming cart,单头暖碟车,1pcs/ctn,1CTNS,1pcs,60,52,98,0.306CBM,0.306CBM,30.0KGS,30.0KGS,"¥1,000.00","¥1,000.00",,
MS-302-27 SANCARGO,东田,27,,Electric  Plate Warming cart,双头暖碟车,1pcs/ctn,0CTNS,0pcs,101,53,100,0.535CBM,0.000CBM,60.0KGS,0.0KGS,"¥2,100.00",¥0.00,,
MS-302-28 SANCARGO,东田,28,,Electric Toaster,ETS-4片多士炉,4pcs/ctn,1CTNS,4pcs,67,31,53,0.110CBM,0.110CBM,18.5KGS,18.5KGS,¥280.00,"¥1,120.00",,
MS-302-29 SANCARGO,东田,29,,Manuel Meat Mincer,手动切片机,1pcs/ctn,5CTNS,5pcs,33,33,36,0.039CBM,0.196CBM,5.0KGS,25.0KGS,¥230.00,"¥1,150.00",,
