Table 1
CLIENT DETAILS :   MOSES. MS-6                                                                      CONTAINER NO:MRSU9802805,,,,,,,,,,,,,,,
ITEM NO., DESCRIPTION OF GOODS,,,PACKING,T.CTN,T.QTY,H,W,L,UNIT CBM,T.CBM,"UNIT
WEIGHT",T.WEIGHT,U.PRICE (RMB),T.AMOUNT
,,,,,,,,,,,,,,,
NEW ORDER,,,,,,,,,,,,,,,
55,,Casserole Set,"3pcs Casserole Set
3 pcs color box unit:set
1L 20.7*16.8*11.8cm
1.5L 23.7*19.6*14cm
2.2L 25.6*21.5*15cm",4pcs/ctn,20CTNS,80pcs,52,27,42,0.059CBM,1.179CBM,16.2KGS,324.0KGS,CN¥42.00,"CN¥3,360.00"
56,,Cup&Saucer ,"250ml Cup&Saucer 6+6
6+6/color box,  Unit:Set
cup：8.5*7cm   saucer：14.2cm
Opal Glass",12pcs/ctn,5CTNS,60pcs,58.5,32,44.5,0.083CBM,0.417CBM,27.9KGS,139.5KGS,CN¥28.00,"CN¥1,680.00"
57,,Cake Mould,"Cake Mould
Unit:PCS
26*26*5cm
Silicone",24pcs/ctn,5CTNS,120pcs,53,29,32,0.049CBM,0.246CBM,7.0KGS,35.0KGS,CN¥8.30,CN¥996.00
58,,Cake bowl,"4.25"" Cake bowl
24pcs/display box, unit:pcs
11*5.4cm,235g
porcelain",72pcs/ctn,5CTNS,360pcs,48,36,36,0.062CBM,0.311CBM,18.8KGS,94.0KGS,CN¥2.00,CN¥720.00
59,, bowl,"3.5""bowl
24pcs/display box
9.2*5cm 230ml 166g
Porcelain",96pcs/ctn,5CTNS,480pcs,41,32,47,0.062CBM,0.308CBM,17.0KGS,85.0KGS,CN¥1.50,CN¥720.00
60,, tea pot,"Tea Pot
1pcs/color box Unit:pcs
450ml
Borosilicate with SS cover",24pcs/ctn,20CTNS,480pcs,41.5,40,27.5,0.046CBM,0.913CBM,9.5KGS,190.0KGS,CN¥9.50,"CN¥4,560.00"
61,,canister set,"3 pcs canister set
color box Unit:set
9*11cmH,500ml
black iron stand
glass,rubber wood,pp,iron",8pcs/ctn,5CTNS,40pcs,46,31.2,36.5,0.052CBM,0.262CBM,11.0KGS,55.0KGS,CN¥28.00,"CN¥1,120.00"
62,,Mug,"450ml Mug
12pcs/egg packing;unit:pcs
φ9*10.5cm,402g
Porcelain",48pcs/ctn,10CTNS,480pcs,41.3,28,44.3,0.051CBM,0.512CBM,20.1KGS,201.0KGS,CN¥4.50,"CN¥2,160.00"
63,, Glass bottle,"1000ml Glass bottle
12pcs/display box 
Unit:Pcs",24pcs/ctn,5CTNS,120pcs,56.5,38.5,35,0.076CBM,0.381CBM,14.0KGS,70.0KGS,CN¥4.60,CN¥552.00
64,, Glass bottle,"1000ml Glass bottle
12pcs/display box
Unit:Pcs",24pcs/ctn,5CTNS,120pcs,58.8,39.5,35,0.081CBM,0.406CBM,15.0KGS,75.0KGS,CN¥4.60,CN¥552.00
65,,plate,"10.5""Square plate
6pcs/inner box;unit:pcs
26*2.8cm,854g
procelain",24pcs/ctn,1CTNS,24pcs,44,29.5,30,0.039CBM,0.039CBM,24.0KGS,24.0KGS,CN¥7.20,CN¥172.80
66,,plate,"34*23.5*2cm
1184g",18pcs/ctn,10CTNS,180pcs,37,28,26,0.027CBM,0.269CBM,20.5KGS,205.0KGS,CN¥8.50,"CN¥1,530.00"
67,,Ironing board,"Ironing board
1100*340*830 mm
3.4kg",6pcs/ctn,10CTNS,60pcs,126,34,35,0.150CBM,1.499CBM,23.0KGS,230.0KGS,CN¥83.00,"CN¥4,980.00"
68,,Ironing board,"Ironing board
1100*300*800mm
3.4kg",6pcs/ctn,10CTNS,60pcs,126,40,31,0.156CBM,1.562CBM,23.0KGS,230.0KGS,CN¥77.00,"CN¥4,620.00"
69,,Cake tray,"3-Tier cake tray
4pcs/color box,unit:set
stand:47.3*22.5*53cm
small plate:31.9*15.9*2.2cm
middle plate:41.5*18.2*2.6cm
large plate:50.4*20.1*3cm
Porcelain",2pcs/ctn,10CTNS,20pcs,59,28,26,0.043CBM,0.430CBM,10.0KGS,100.0KGS,CN¥100.00,"CN¥2,000.00"
