NO：C25-6083,,,,义乌市佰世威厨具有限公司销售单,,,,,,,,,,,,,,,,,,
客户：C707-CG,,,,,,,,,,,,,销售日期：2026-03-15,,,,,,,,,
备用电话：,,,,,,,,,,,,,送货日期：,,,,,,,,,
送货地址：,,,,,,,,,,,,,,,,,,,,,,
"NO.
序号","DATE
订单日期","ORD NO.
销售单号","CUS NO.
客户货号","ITEM NO.
产品货号","PHOTO
图片1","PHOTO2
图片1","DES.
描述","CTN
总箱数","QTY
每箱数量","T.QTY
总数量","U/P
单价","AMOUNT
金额","L
长","W
宽","H
高","CBM
体积","G.W.
重量","T.T.CBM
总体积","T.T.KGS
总重量","CODE
条形码","REK
备注","W.H.
仓位"
102,2026-03-15,C25- 6083,,LGCP105,,,"10.5""dinner plate 6pcs/inner box,
Unit:Pcs",50,36,1800,3.8,6840,39.5,29,29,0.03,17.5,1.66,875,6912024133302,,浦江仓
103,2026-03-15,C25- 6083,,LWENP105,,,"10.5""dinner plate 6pcs/inner box,
Unit:Pcs",50,36,1800,3.6,6480,35.5,28.5,28.5,0.03,17,1.44,850,6912024133357,,浦江仓
104,2026-03-15,C25- 6083,,LSQP100,,,"10""dinner plate pcs/inner box, Unit:Pcs
25*3cm",50,36,1800,3.5,6300,0,0,0,0.00,0,0.00,0,6912024151757,,浦江仓
105,2026-03-15,C25- 6083,,OUSTW60,,,"6""bowl 6pcs/inner box, Unit:Pcs
15*7.2cm",20,72,1440,3.2,4608,48.8,44,33,0.07,29.5,1.42,590,6912024133234,,浦江仓
106,2026-03-15,C25- 6083,,ZKW80,,,"8""Serving Bowl 6pcs/inner box,
Unit:Pcs
20x7.5cm",10,24,240,5,1200,52,44,23,0.05,13,0.53,130,6941602680501,,浦江仓
107,2026-03-15,C25- 6083,,LMLW90,,,"9""Serving Bowl 3pcs/inner box, Unit:Pcs
24*24*11CM",10,12,120,4.8,576,0,0,0,0.00,0,0.00,0,6912024153577,,浦江仓
108,2026-03-15,C25- 6083,,LBKP105,,,"10.5Dinner Plate 6pcs/inner box, Unit:Pcs
26.5x26.5x2.5cm",50,36,1800,5.2,9360,37.5,28,29.5,0.03,16.18,1.55,809,6188866879634,,浦江仓
109,2026-03-15,C25- 6083,,LBKP120,,,"12""Serving Plate 6pcs/inner box, Unit:Pcs
30.5x30x2.8cm",10,24,240,6.3,1512,33,27,33,0.03,15.9,0.29,159,6188866879641,,浦江仓
110,2026-03-15,C25- 6083,,ZHG3T-A,,,3pcs Casserole Set 1.0L+1.5L+2.5L,10,4,40,47,1880,47,38.5,29.4,0.05,16.22,0.53,162.2,6900210529121,,浦江仓
111,2026-03-15,C25- 6083,,BLXP105,,,"10.5""Dinner Plate 6pcs/inner box,
Unit:Pcs",10,36,360,4.9,1764,34.5,28.5,29,0.03,18.1,0.29,181,6948551720203,,浦江仓
112,2026-03-15,C25- 6083,,ZYB227,,,"Bread Box Unit:PCS 35.6*21.5*19.7c
m",5,4,20,46,920,46,37,46,0.08,10.7,0.39,53.5,6667202128785,,浦江仓
113,2026-03-15,C25- 6083,,ZYB226,,,"Square Bread Box
Unit:PCS
35.6*21.8*20cm",5,4,20,46,920,50,37,46,0.09,10.7,0.43,53.5,6667202128778,,浦江仓
114,2026-03-15,C25- 6083,,ZYB225,,,"Bread Box- White Unit:PCS
35.5*21.5*20.5c",5,4,20,46,920,45,36,47,0.08,7,0.38,35,6667202128761,,浦江仓
115,2026-03-15,C25- 6083,,ZYB224,,,"Bread Box-Black Unit:PCS 35.5*21.5*20.5c
m",5,4,20,46,920,45,36,47,0.08,7,0.38,35,6667202128754,,浦江仓
116,2026-03-15,C25- 6083,,SD-033,,,"Glass Juice Jar set
3pcs/color box
Unit:set",5,6,30,19.5,585,50.6,37,34,0.06,10.6,0.32,53,6902023000330,,东阳仓
117,2026-03-15,C25- 6083,,1988-138,,,"glass cake plate 2 pcs/color box,Unit:Box
plate :",20,2,40,52,2080,66,33,36.5,0.08,22,1.59,440,6919882401383,4-2,东阳仓
118,2026-03-15,C25- 6083,,CB-279,,,"Glass storage jar 1pcs/color box, Unit:Pcs
8.9*36.4*12cm",5,6,30,30,900,0,0,0,0.00,0,0.00,0,6912024154178,,浦江仓
119,2026-03-15,C25- 6083,,SD-080,,,"4 pcs glass snack set color box
Unit:set",5,8,40,32,1280,54.5,31,42,0.07,0,0.35,0,6912024153362,,东阳仓
120,2026-03-15,C25- 6083,,CB-254,,,"Glass waterJug 1pcs/color
box,Unit:pcs
8.8*15.8*24cm",5,12,60,9.6,576,45,44,26.5,0.05,10.2,0.26,51,6912024150927,,浦江仓
121,2026-03-15,C25- 6083,,XF5T-06,,,"5pcs Tea Pot Set 1 set/color box Unit:set
pot:1475ml*1pc",5,8,40,22,880,45,40,57,0.10,9,0.51,45,6912024146005,,浦江仓
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
153,2026-03-15,C25- 6083,,DH3646- BLACK,,,"Bread knife 8"" 12pcs/inner box,unit:pcs
33cm",2,72,144,6,864,40,36,29.5,0.04,10,0.08,20,6900202305276,,浦江仓
TOTAL：,,,,,,,,1587,,36839,,372377.1,,,,,,87.57,"21,772.49",,,
,,,,,,,,CTN,,PCS,,Amount,,,,,,CBM,KGS,,,
,,,,,,,,,,,,,,,,,,,,,,
29,2026-03-15,C25- 6083,,0801-1,,,"13""Bakeware 6pcs/display box,unit:pcs
33.5*23.5*7.5cm",10,6,60,20,1200,48.5,35,26.5,0.04,14,0.45,140,6812505600067,,浦江仓
